iter	Logloss
0	0.684443653
1	0.6738575657
22	0.66205341143	0.6549604504
4	0.6450078502
5	0.636946399
6	0.6301002909
7	0.6221821778
8	0.6156874605
99	0.6090932822110	0.6037349214
11	0.598704693412	0.5958839255
13	0.5912117428
14	0.5877131642
15	0.5840852581
1616	0.5804854021
17	0.5776207507
18	0.5746119426
19	0.572820292220	0.5704741057
21	0.568178983422	0.5654902997
23	0.5635689441
24	0.5616221989
25	0.5597100514
26	0.5580887757
27	0.5561182572
28	0.554345978
29	0.5530188542
30	0.5518895077
31	0.5505246509
32	0.5493007178
33	0.5479913199
34	0.5471151609
35	0.5459494365
36	0.5454789672
37	0.5444263973
38	0.5436437558
39	0.5427204478
40	0.5417786901
41	0.5411407927
42	0.5404094524
43	0.5396813107
44	0.539030673
45	0.5382742274
46	0.5376899689
47	0.5370083073
48	0.5363539641
49	0.5358643744
50	0.5355435153
51	0.5350012585
52	0.5344619251
53	0.5341687021
54	0.5336297266
55	0.5333166172
56	0.5330547022
57	0.5327165301
58	0.5322530693
59	0.5320473829
60	0.5316966614
61	0.5314169981
62	0.5309676313
63	0.530634164	064	0.530403865	65	0.5300972266	0.5291148832
67	67	0.529780768	0.5286438664
69	0.5283249083
70	0.5280668697
71	0.5278977734
72	0.5276289372
73	0.5274999035
74	0.5272417091
75	0.5269215395
76	0.5268418491
77777	0.5282794922
78	0.5280784757979	0.52794898380	0.5268761373
81	0.5266909207
82	0.5266136815
83	0.5264937869
84	0.5263698652
85	0.5262069034
86	0.5261178578
87	0.525972696
88	0.5258662359
8989	0.5266757439090	0.52656161691	0.5254626679
9292	0.526292716
93	0.5261967515
94	0.5260936995
95	0.5260604274
96	0.5259508442
97	0.5258798984
98	0.5257592543
99	0.5256225447
100	0.5255718632
101	0.5254895638
102	0.5253757612
103	0.5253143894
104	0.5252210344
105	0.525171635
106	0.5250967389
107	0.5250376525
108	0.5249680959
109	0.5249055247
110	0.5248232951
111	0.5247567202
112	0.5246910449
113	0.5245746524
114	0.5245130466
115	0.5244120614
116	0.5243421035
117	0.5242671207
118	0.5241883725
119	0.5241302744
120	0.5240416392
121	0.5239512523
122	0.5238748187
123	0.5238285552
124	0.523787134
125	0.5237429583
126	0.5237063809
127	0.523670546
128	0.5236425177
129	0.5236146022
130	0.5235726348
131	0.5235703289
132	0.5235408736
133	0.5234981319
134	0.5234694343
135	0.5234267219
136	0.5233732413
137	0.5233306825
138	0.523288235
139	0.5232262533
140	0.5231885039
141	0.5231385641
142	0.5231148814
143	0.523088265
144	0.5230808594
145	0.5230482114
146	0.523006725
147	0.5229796087
148	0.5229516302
149	0.522923934
150	0.5229024899
151	0.5228704916
152	0.522841133
153	0.5228318187
154	0.5227814178
155	0.5227421963
156	0.5227135541
157	0.5226925952
158	0.5226639082
159	0.5226432381
160	0.5226219713
161	0.5226053192
162	0.5225820765
163	0.5225452215
164	0.5225238101
165	0.5225165582
166	0.5225049595
167	0.5224831767
168	0.5224721819
169	0.5224420371
170	0.5224285149
171	0.5224120975
172	0.5224010198
173	0.5223709292
174	0.5223505083
175	0.522328899
176	0.5223155862
177	0.5222862492
178	0.5222635214
179	0.5222486553
180	0.5222299425
181	0.5222231098
182	0.5222058657
183	0.5221860036
184	0.5221723806
185	0.5221604078
186	0.5221505691
187	0.5221497131
188	0.5221453301
189	0.5221353277
190	0.5221110603
191	0.5221034294
192	0.522085052
193	0.5220829365
194	0.522069528
195	0.5220632643
196	0.5220579681
197	0.5220502459
198	0.5220385904
199	0.5220287505
200	0.5220229889
201	0.5220166915
202	0.5220039818
203	0.5219964923
204	0.5219751782
205	0.5219633003
206	0.5219575342
207	0.5219499914
208	0.5219398616
209	0.5219283495
210	0.5219087923
211	0.5218872178
212	0.5218785409
213	0.5218640214
214	0.52185603
215	0.5218404659
216	0.5218328816
217	0.5218150484
218	0.5218027415
219	0.52178402
220	0.521770842
221	0.5217620605
222	0.5217487915
223	0.5217422944
224	0.5217323281
225	0.5217310329
226	0.5217288319
227	0.5217175447
228	0.5217078168
229	0.5216983747
230	0.5216916781
231	0.5216895858
232	0.5216738389
233	0.5216679292
234	0.5216601594
235	0.5216535336
236	0.5216491887
237	0.5216412638
238	0.5216332148
239	0.5216268699
240	0.5216213898
241	0.5216129948
242	0.5216074231
243	0.5216063057
244	0.5216006175
245	0.5215939576
246	0.521590302
247	0.5215869549
248	0.5215821734
249	0.5215774237
250	0.5215734156
251	0.5215694681
252	0.5215626069
253	0.5215566986
254	0.5215469136
255	0.5215430372
256	0.521540451
257	0.5215384904
258	0.5215339944
259	0.5215279396
260	0.5215234948
261	0.5215193237
262	0.5215147646
263	0.5215106354
264	0.5215049891
265	0.5215019349
266	0.521493917
267	0.5214921657
268	0.5214900005
269	0.521486594
270	0.5214801498
271	0.5214750699
272	0.5214735371
273	0.52146842
274	0.5214667967
275	0.5214622966
276	0.521460897
277	0.5214532433
278	0.5214503324
279	0.5214506886
280	0.5214459261
281	0.5214418836
282	0.5214388464
283	0.5214365588
284	0.5214353885
285	0.5214327506
286	0.5214294702
287	0.5214257767
288	0.5214183625
289	0.5214146909
290	0.5214142524
291	0.5214102129
292	0.5214066018
293	0.5214056411
294	0.5213982275
295	0.5213939102
296	0.5213921602
297	0.52138464
298	0.5213843101
299	0.5213795125
300	0.5213762608
301	0.5213723207
302	0.5213669007
303	0.5213623764
304	0.5213577719
305	0.5213552549
306	0.5213539096
307	0.5213507133
308	0.521349744
309	0.5213467032
310	0.5213411872
311	0.5213391401
312	0.5213350108
313	0.5213317569
314	0.521330409
315	0.5213265479
316	0.5213236533
317	0.5213220151
318	0.5213177601
319	0.5213153375
320	0.5213130118
321	0.5213114594
322	0.52131164863323	0.521309596324	0.5201536519
325	0.5201522947
326	0.520146104
327	0.5201437083
328	0.5201389306
329	0.5201372803
330	0.5201362749
331	0.5201343464
332	0.5201313902
333	0.5201295812
334	0.5201249741
335	0.5201223655
336	0.5201157973
337	0.5201147942
338	0.5201119389
339	0.5201104392
340	0.5201081787
341	0.5201076718
342	0.5201059545
343	0.5201061347
344	0.5201031645
345	0.5200985436
346	0.5200978291
347	0.5200930425
348	0.5200903135
349	0.5200874585
350	0.5200834997
351	0.5200820777
352	0.5200799219
353	0.5200787564
354	0.5200791205
355	0.5200759971
356	0.5200746659
357	0.5200740801
358	0.5200725562
359	0.5200712951
360	0.5200711805
361	0.5200692949
362	0.5200690256
363	0.5200670091
364	0.5200668311
365	0.5200641311
366	0.5200633842
367	0.5200626935
368	0.5200589879
369	0.5200580287
370	0.5200563684
371	0.5200539875
372	0.5200521202
373	0.5200517572
374	0.5200517403
375	0.5200498432
376	0.5200491011
377	0.5200488534
378	0.5200494615
379	0.5200479385
380	0.5200446572
381	0.5200449529
382	0.5200414952
383	0.5200412535
384	0.5200397029
385	0.5200405814
386	0.5200398301
387	0.5200364981
388	0.5200354111
389	0.520035392
390	0.5200352226
391	0.5200337703
392	0.5200323922
393	0.5200324101
394	0.5200304066
395	0.5200298267
396	0.520027777
397	0.5200268283
398	0.5200269564
399	0.5200268071
400	0.5200253223
401	0.5200257885
402	0.5200243616
403	0.5200230248
404	0.5200225895
405	0.520022469406	0.5195336278
407	0.5195316855
408	0.5195334886
409	0.5195324551
410	0.5195316667
