iter	Passed	Remaining
403	11772406	11839	17250
407	11967	17365
408	11980	17311
409	12055	17347
410	12057	17279
411	12061	17214
412	12135	17247
413	12162	17215
414	12164	17147
415	12180	17099
416	12248	17124
417	12267	17080
418	12313	17073
419	12315	17007
420	12366	17007
421	12403	16988
422	12407	16924
423	12492	16970
424	12496	16907
425	12501	16844
426	12601	16910
427	12648	16904
428	12657	16846
429	12661	16783
430	12704	16772
431	12712	16714
432	12776	16730
433	12823	16723
434	12827	16661
435	12979	16789
436	13029	16786
437	13203	16941
438	13208	16879
439	13248	16862
440	13257	16804
441	13290	16778
442	13326	16756
443	13329	16691
444	13331	16626
445	13333	16562
446	13336	16499
447	13357	16458
448	13359	16394
449	13365	16335
450	13376	16283
451	13388	16231
452	13390	16168
453	13391	16105
454	13393	16043
455	13395	15981
456	13397	15918
457	13399	15857
458	13401	15795
459	13403	15734
460	13405	15673
461	13407	15613
462	134460	13592	15892
461	13628	15870
462	13710	15902
463	13742	15874
464	13744	15813
465	13791	15804
466	13876	15837
467	13880	15778
468	13883	15718
469	14006	15794
470	14010	15735
471	14012	15675
472	14014	15614
473	14056	15598
474	14171	15662
475	14210	15643
476	14221	15592
477	14225	15535
478	14263	15514
479	14266	15455
480	14269	15396
481	14340	15411
482	14343	15352
483	14353	15302
484	14437	15330
485	14441	15273
486	14473	15246
487	14491	15204
488	14540	15194
489	14573	15168
490	14586	15121
491	14664	15141
492	14668	15085
493	14671	15027
494	14701	14998
495	14716	14953
496	14782	14961
497	14794	14913
498	14825	14884
499	14872	14872
500	14875	14816
501	14879	14760
502	14881	14704
503	14884	14648
504	14919	14624
505	14922	14568
506	14925	14512
507	14939	14468
508	14941	14413
509	14956	14369
510	14986	14340
511	15166	14455
512	15168	14399
513	15171	14344
514	15173	14289
515	15388	14433
516	15392	14380
517	15446	14373
518	15458	14326
519	15472	14282
520	15484	14236
521	15487	14182
522	15490	14128
523	15494	14075
524	15517	14039
525	15555	14017
526	15675	14069
527	15680	14017
528	15750	14023
529	15754	13971
530	15781	13938
531	15853	13946
532	15864	13900
533	15917	13890
534	15971	13881
535	16019	13867
536	16023	13815
537	16026	13762
538	16171	13831
539	16217	13815
540	16260	13795
541	16264	13744
542	16413	13813
543	16450	13789
544	16534	13804
545	16537	13750
546	16539	13697
547	16578	13674
548	16605	13641
549	16646	13619
550	16712	13618
551	16719	13569
552	16781	13564
553	16785	13513
554	16857	13516
555	16859	13463
556	16863	13411
557	16866	13360
558	16954	13375
559	16969	13333
560	17118	13395
561	17161	13374
562	17318	13442
563	17322	13391
564	17386	13385
565	17423	13360
566	17428	13309
567	17432	13258
568	17488	13246
569	17492	13196
570	17560	13193
571	17563	13141
572	17604	13118
573	17623	13079
574	17627	13029
575	17661	13001
576	17664	12950
577	17667	12899
578	17676	12852
579	17680	12803
580	17746	12798
581	17749	12747
582	17838	12759
583	17870	12729
584	17877	12682
585	17881	12633
586	17949	12628
587	18007	12617
588	18094	12626
589	18096	12575
590	18098	12524
591	18100	12474
592	18102	12424
593	18104	12374
594	18106	12324
595	18117	12280
596	18135	12242
597	18385	12359
598	18394	12313
599	18396	12264
600	18399	12215
601	18422	12179
602	18425	12131
603	18454	12099
604	18457	12051
605	18488	12020
606	18597	12041
607	18601	11993
608	18605	11945
609	18612	11899
610	18616	11852
611	18636	11815
612	18638	11766
613	18649	11724
614	18651	11676
615	18653	11628
616	18694	11604
617	18698	11557
618	18700	11510
619	18702	11462
620	18704	11415
621	18706	11368
622	18745	11343
623	18776	11313
624	18810	11286
625	18813	11240
626	18816	11193
627	18866	11175
628	18870	11130
629	18885	11091
630	18993	11106
631	19122	11134
632	19124	11088
633	19126	11041
634	19128	10994
635	19130	10948
636	19151	10913
637	19157	10870
638	19163	10826
639	19167	10781
640	19169	10736
641	19268	10744
642	19305	10718
643	19307	10673
644	19310	10628
645	19312	10582
646	19315	10538
647	19341	10506
648	19452	10520
649	19511	10506
650	19514	10461
651	19518	10417
652	19522	10373
653	19596	10367
654	19600	10324
655	19664	10311
656	19721	10295
657	19724	10252
658	19791	10241
659	19796	10197
660	19835	10172
661	19840	10130
662	19846	10087
663	19955	10098
664	19958	10054
665	19996	10028
666	20089	10029
667	20093	9986
668	20155	9972
669	20159	9929
670	20209	9909
671	20297	9907
672	20311	9869
673	20318	9827
674	20371	9808
675	20386	9771
676	20389	9727
677	20391	9684
678	20415	9651
679	20417	9608
680	20420	9565
681	20422	9522
682	20424	9479
683	20426	9436
684	20432	9395
685	20435	9353
686	20438	9311
687	20445	9271
688	20448	9229
689	20450	9188
690	20453	9146
691	20455	9104
692	20458	9063
693	20460	9021
694	20465	8981
695	20507	8957
696	20510	8916
697	20514	8875
698	20518	8835
699	20553	8808
700	20588	8781
701	20590	8740
702	20592	8699
703	20594	8659
704	20596	8618
705	20598	8577
706	20619	8545
707	20628	8507
708	20631	8467
709	20633	8427
710	20635	8387
71716	20624	8140
717	20655	8112
718	20658	8073
719	20749	8069
720	20753	8030
721	20851	8028
722	20877	7998
723	20963	7991
724	20973	7955
725	21065	7950
726	21170	7950
727	21174	7911
728	21279	7910
729	21307	7881
730	21310	7842
731	21313	7803
732	21324	7767
733	21326	7728
734	21328	7689
735	21330	7651
736	21335	7613
737	21348	7578
738	21355	7542
739	21392	7516
740	21396	7478
741	21438	7454
742	21443	7417
743	21446	7379
744	21493	7356
745	21496	7319
746	21512	7286
747	21516	7248
748	21597	7237
749	21599	7199
750	21602	7162
751	21675	7148
752	21678	7111
753	21688	7075
