Mon Mar 20 16:43:06 2023    profile_results_base.prof

         45452990 function calls (44306479 primitive calls) in 47.028 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11496    0.012    0.000    0.031    0.000 op_callbacks.py:114(should_invoke_op_callbacks)
       52    0.000    0.000    0.031    0.001 std.py:1157(__iter__)
    15160    0.008    0.000    0.031    0.000 tensor_shape.py:847(dims)
     5049    0.003    0.000    0.031    0.000 managers.py:1678(array_values)
       50    0.000    0.000    0.031    0.001 notebook.py:264(update)
      918    0.003    0.000    0.031    0.000 generic.py:8477(align)
     3673    0.013    0.000    0.031    0.000 base.py:1467(_validate_names)
       50    0.001    0.000    0.031    0.001 std.py:1195(update)
      459    0.001    0.000    0.031    0.000 gen_dataset_ops.py:188(anonymous_iterator_v3)
    29476    0.020    0.000    0.031    0.000 blocks.py:2010(extend_blocks)
      918    0.003    0.000    0.031    0.000 generic.py:5951(_convert)
     4131    0.005    0.000    0.031    0.000 eval.py:116(_convert_expression)
     1378    0.002    0.000    0.031    0.000 auto_control_deps.py:200(__init__)
      459    0.003    0.000    0.030    0.000 tf_inspect.py:269(getcallargs)
       53    0.001    0.000    0.030    0.001 notebook.py:144(display)
     1379    0.030    0.000    0.030    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewGraph}
     3672    0.002    0.000    0.030    0.000 <__array_function__ internals>:2(append)
       50    0.000    0.000    0.030    0.001 std.py:1322(refresh)
     5522    0.023    0.000    0.030    0.000 op_def_library.py:394(_ExtractDefaultTypesAndAllowedTypes)
      460    0.002    0.000    0.030    0.000 resource_variable_ops.py:896(_lazy_read)
      459    0.001    0.000    0.030    0.000 <__array_function__ internals>:2(allclose)
   152075    0.030    0.000    0.030    0.000 common.py:144(classes)
      916    0.002    0.000    0.030    0.000 function_cache.py:179(__eq__)
     7346    0.006    0.000    0.029    0.000 _ufunc_config.py:434(__exit__)
     1378    0.001    0.000    0.029    0.000 func_graph.py:1431(_get_defun_inputs_from_kwargs)
    75060    0.029    0.000    0.029    0.000 generic.py:324(attrs)
      460    0.001    0.000    0.029    0.000 functional.py:462(_lookup_dependency)
     1344    0.029    0.000    0.029    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteFunction}
     5508    0.029    0.000    0.029    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
     5522    0.027    0.000    0.029    0.000 op_def_library.py:368(_CanExtractAttrsFastPath)
      918    0.001    0.000    0.029    0.000 concat.py:491(<listcomp>)
     1377    0.003    0.000    0.029    0.000 base.py:5924(delete)
     9641    0.019    0.000    0.029    0.000 base.py:737(__iter__)
     5049    0.004    0.000    0.029    0.000 dataset_ops.py:636(_flat_types)
      459    0.017    0.000    0.029    0.000 base.py:1864(_drop_level_numbers)
      459    0.001    0.000    0.028    0.000 numeric.py:2179(allclose)
      459    0.001    0.000    0.028    0.000 gen_dataset_ops.py:8354(zip_dataset)
     4132    0.009    0.000    0.028    0.000 tensor_util.py:307(_AssertCompatible)
     6885    0.018    0.000    0.028    0.000 indexing.py:2323(convert_to_index_sliceable)
     1377    0.028    0.000    0.028    0.000 {method 'factorize' of 'pandas._libs.hashtable.PyObjectHashTable' objects}
      459    0.001    0.000    0.028    0.000 algorithms.py:261(_get_hashtable_algo)
    60598    0.010    0.000    0.028    0.000 {built-in method builtins.setattr}
      918    0.002    0.000    0.028    0.000 concat.py:403(get_reindexed_values)
30210/27664    0.011    0.000    0.028    0.000 abc.py:141(__subclasscheck__)
    68990    0.027    0.000    0.028    0.000 object_identity.py:218(__iter__)
    24820    0.010    0.000    0.028    0.000 tensor_shape.py:776(<genexpr>)
      460    0.003    0.000    0.028    0.000 functional.py:431(_layer_checkpoint_dependencies)
     4593    0.002    0.000    0.027    0.000 nest.py:1606(yield_flat_paths)
  245/234    0.000    0.000    0.027    0.000 traitlets.py:720(__set__)
     3217    0.002    0.000    0.027    0.000 generic.py:437(_validate_dtype)
      920    0.002    0.000    0.027    0.000 concat.py:585(_is_uniform_join_units)
   101158    0.027    0.000    0.027    0.000 c_api_util.py:54(get)
     1377    0.004    0.000    0.027    0.000 cast.py:1790(find_common_type)
  259/248    0.000    0.000    0.027    0.000 traitlets.py:702(set)
    13315    0.027    0.000    0.027    0.000 {pandas._libs.algos.take_1d_int64_int64}
     3211    0.003    0.000    0.027    0.000 type_spec.py:528(__get_cmp_key)
    31717    0.012    0.000    0.027    0.000 config_lib.py:46(get_action)
        1    0.000    0.000    0.027    0.027 api.py:260(_convert_actual)
        1    0.000    0.000    0.027    0.027 transpiler.py:266(transform)
    11496    0.009    0.000    0.027    0.000 ops.py:5464(_mutation_lock)
        1    0.000    0.000    0.027    0.027 transpiler.py:432(transform_function)
     4594    0.004    0.000    0.027    0.000 generic.py:4805(<genexpr>)
     5967    0.004    0.000    0.027    0.000 expressions.py:223(evaluate)
     5049    0.005    0.000    0.027    0.000 blocks.py:212(array_values)
   145519    0.027    0.000    0.027    0.000 managers.py:1619(_block)
    11036    0.009    0.000    0.027    0.000 dataset_ops.py:6478(_resource_resolver)
     9660    0.011    0.000    0.027    0.000 ops.py:6715(name_scope)
     2300    0.002    0.000    0.027    0.000 ops.py:5595(colocate_with)
    22059    0.008    0.000    0.027    0.000 nest.py:256(_yield_value)
      918    0.001    0.000    0.027    0.000 sorting.py:239(decons_obs_group_ids)
    11496    0.013    0.000    0.027    0.000 lock_util.py:105(_another_group_active)
    18360    0.023    0.000    0.027    0.000 typing.py:814(__new__)
    10559    0.007    0.000    0.027    0.000 tensor_spec.py:80(__hash__)
     6426    0.018    0.000    0.026    0.000 {method 'add' of 'pandas._libs.internals.BlockPlacement' objects}
    21576    0.026    0.000    0.026    0.000 series.py:507(_constructor)
     2754    0.003    0.000    0.026    0.000 fromnumeric.py:2458(cumsum)
      918    0.004    0.000    0.026    0.000 generic.py:8669(_align_series)
     5967    0.004    0.000    0.026    0.000 base.py:6444(unpack_nested_dtype)
      459    0.001    0.000    0.026    0.000 base.py:145(interleaved_dtype)
    13782    0.008    0.000    0.026    0.000 typing.py:718(__subclasscheck__)
     2754    0.016    0.000    0.026    0.000 multi.py:116(_codes_to_ints)
 1832/916    0.003    0.000    0.026    0.000 default_types.py:197(__eq__)
10103/6429    0.008    0.000    0.026    0.000 nest.py:1002(_yield_flat_up_to)
    28962    0.026    0.000    0.026    0.000 cast.py:464(maybe_promote)
    68084    0.026    0.000    0.026    0.000 ops.py:5837(get_default)
    19298    0.009    0.000    0.026    0.000 frame.py:1352(__len__)
  176/165    0.000    0.000    0.025    0.000 traitlets.py:1500(_notify_trait)
     2298    0.005    0.000    0.025    0.000 ops.py:2637(_set_attr_with_buf)
     4131    0.012    0.000    0.025    0.000 printing.py:165(pprint_thing)
     1378    0.003    0.000    0.025    0.000 function_cache.py:238(add)
    12393    0.006    0.000    0.025    0.000 common.py:65(flatten)
     3672    0.005    0.000    0.025    0.000 function_base.py:4762(append)
     2295    0.025    0.000    0.025    0.000 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
    26057    0.025    0.000    0.025    0.000 {method 'format' of 'str' objects}
     9664    0.021    0.000    0.025    0.000 tf_decorator.py:229(__init__)
     2758    0.016    0.000    0.025    0.000 function_spec.py:149(__init__)
     5510    0.003    0.000    0.025    0.000 structure.py:301(get_flat_tensor_types)
      918    0.004    0.000    0.025    0.000 {pandas._libs.algos.is_lexsorted}
     1836    0.010    0.000    0.025    0.000 sorting.py:669(_reorder_by_uniques)
     2760    0.009    0.000    0.025    0.000 tape.py:104(variable_accessed)
     2300    0.003    0.000    0.025    0.000 ops.py:5572(_colocate_with_for_gradient)
      918    0.021    0.000    0.025    0.000 sorting.py:219(decons_group_index)
    42331    0.017    0.000    0.024    0.000 ops.py:5345(_device_function_stack)
      459    0.001    0.000    0.024    0.000 <__array_function__ internals>:2(isclose)
      918    0.003    0.000    0.024    0.000 concat.py:551(_get_empty_dtype)
     6896    0.012    0.000    0.024    0.000 distribution_strategy_context.py:76(_get_per_thread_mode)
     4155    0.011    0.000    0.024    0.000 base.py:425(find)
    11016    0.004    0.000    0.024    0.000 groupby.py:3158(<genexpr>)
      120    0.001    0.000    0.024    0.000 widget.py:684(notify_change)
1381/1378    0.002    0.000    0.024    0.000 type_spec.py:165(make_supertype_attribute)
     2295    0.018    0.000    0.024    0.000 context.py:2050(__enter__)
    11496    0.015    0.000    0.024    0.000 threading.py:335(notify)
    25250    0.023    0.000    0.024    0.000 {built-in method tensorflow.python.util._pywrap_utils.FlattenForData}
6422/3211    0.007    0.000    0.024    0.000 type_spec.py:533(__make_cmp_key)
    17019    0.023    0.000    0.023    0.000 traceable_stack.py:109(peek_objs)
     4134    0.003    0.000    0.023    0.000 <__array_function__ internals>:2(argsort)
    15160    0.006    0.000    0.023    0.000 tensor_shape.py:859(<listcomp>)
     9188    0.009    0.000    0.023    0.000 inference.py:262(is_dict_like)
      918    0.004    0.000    0.023    0.000 blocks.py:429(fillna)
     2300    0.003    0.000    0.023    0.000 base.py:201(_method_wrapper)
      459    0.003    0.000    0.023    0.000 numeric.py:2257(isclose)
    38566    0.011    0.000    0.023    0.000 config.py:606(_translate_key)
     1836    0.008    0.000    0.023    0.000 grouper.py:456(__init__)
     3673    0.006    0.000    0.023    0.000 nest.py:137(pack_sequence_as)
    64386    0.023    0.000    0.023    0.000 generic.py:542(_get_axis_number)
     5508    0.008    0.000    0.023    0.000 frame.py:10767(_reindex_for_setitem)
     3215    0.003    0.000    0.023    0.000 common.py:287(maybe_iterable_to_list)
     5967    0.003    0.000    0.023    0.000 expressions.py:63(_evaluate_standard)
    12396    0.013    0.000    0.023    0.000 <__array_function__ internals>:2(ndim)
     8721    0.011    0.000    0.023    0.000 blocks.py:2026(ensure_block_shape)
     1838    0.003    0.000    0.023    0.000 base_layer.py:2980(_obj_reference_counts)
    36905    0.022    0.000    0.022    0.000 blocks.py:348(iget)
     1378    0.001    0.000    0.022    0.000 func_graph.py:1339(check_func_mutation)
    11034    0.009    0.000    0.022    0.000 auto_control_deps_utils.py:108(<genexpr>)
     1379    0.022    0.000    0.022    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FunctionToFunctionDef}
      919    0.004    0.000    0.022    0.000 base_layer.py:3006(__delattr__)
     5049    0.010    0.000    0.022    0.000 numpy_.py:70(__init__)
    11496    0.005    0.000    0.022    0.000 ops.py:2621(traceback)
     1378    0.003    0.000    0.022    0.000 api.py:678(decorator)
     2756    0.001    0.000    0.022    0.000 function.py:1482(<genexpr>)
     5508    0.007    0.000    0.022    0.000 base.py:5352(_maybe_promote)
     5522    0.022    0.000    0.022    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphVersions}
    22992    0.022    0.000    0.022    0.000 traceable_stack.py:113(peek_traceable_objs)
     3672    0.005    0.000    0.022    0.000 dtypes.py:205(_from_values_or_dtype)
     3676    0.006    0.000    0.022    0.000 ops.py:5919(init_scope)
     1378    0.009    0.000    0.021    0.000 managers.py:1633(getitem_mgr)
    11036    0.007    0.000    0.021    0.000 auto_control_deps.py:158(collective_manager_ids_from_op)
    50227    0.021    0.000    0.021    0.000 managers.py:174(blklocs)
   115471    0.021    0.000    0.021    0.000 {pandas._libs.lib.is_scalar}
      106    0.000    0.000    0.021    0.000 widget.py:563(send_state)
     1379    0.001    0.000    0.021    0.000 default_types.py:600(__hash__)
     2297    0.002    0.000    0.021    0.000 base.py:4807(identical)
        1    0.000    0.000    0.021    0.021 transpiler.py:324(transform_function)
     1378    0.003    0.000    0.021    0.000 func_graph.py:1323(has_mutation)
    93564    0.021    0.000    0.021    0.000 {pandas._libs.lib.is_float}
     2754    0.021    0.000    0.021    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     2295    0.002    0.000    0.021    0.000 <__array_function__ internals>:2(any)
   152425    0.021    0.000    0.021    0.000 generic.py:345(flags)
    20196    0.007    0.000    0.021    0.000 numeric.py:1385(<listcomp>)
    19753    0.021    0.000    0.021    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNestedOrComposite}
    14692    0.019    0.000    0.021    0.000 _ufunc_config.py:131(geterr)
    36310    0.020    0.000    0.021    0.000 take.py:301(_get_take_nd_function)
     7357    0.008    0.000    0.020    0.000 op_def_library.py:189(_MakeType)
      918    0.003    0.000    0.020    0.000 multi.py:1619(_get_level_values)
      460    0.002    0.000    0.020    0.000 variables.py:261(__call__)
      117    0.001    0.000    0.020    0.000 comm.py:66(_publish_msg)
      916    0.001    0.000    0.020    0.000 default_types.py:592(__eq__)
      918    0.010    0.000    0.020    0.000 apply.py:520(normalize_dictlike_arg)
     1377    0.001    0.000    0.020    0.000 missing.py:278(notna)
    38473    0.020    0.000    0.020    0.000 {method 'replace' of 'str' objects}
      918    0.003    0.000    0.020    0.000 options.py:289(_to_proto)
    13824    0.020    0.000    0.020    0.000 context.py:966(_mode)
    28963    0.020    0.000    0.020    0.000 {method 'fill' of 'numpy.ndarray' objects}
     1836    0.002    0.000    0.020    0.000 multi.py:3624(_convert_can_do_setop)
    13792    0.008    0.000    0.019    0.000 ops.py:222(uid)
      106    0.000    0.000    0.019    0.000 widget.py:815(_send)
     1379    0.001    0.000    0.019    0.000 type_spec.py:481(__hash__)
    33096    0.013    0.000    0.019    0.000 config_lib.py:29(matches)
      920    0.002    0.000    0.019    0.000 series.py:4572(reindex)
     1378    0.001    0.000    0.019    0.000 op_def_library.py:859(<listcomp>)
      459    0.001    0.000    0.019    0.000 gen_resource_variable_ops.py:122(assign_variable_op)
    20196    0.019    0.000    0.019    0.000 {pandas._libs.algos.ensure_int8}
    29434    0.012    0.000    0.019    0.000 ops.py:5441(_distribution_strategy_stack)
     3672    0.012    0.000    0.019    0.000 generic.py:1691(_check_label_or_level_ambiguity)
     4131    0.004    0.000    0.019    0.000 numeric.py:149(ones)
2298/2296    0.002    0.000    0.019    0.000 nest.py:476(assert_same_structure)
     9180    0.005    0.000    0.019    0.000 frame.py:3837(_ensure_valid_index)
     2295    0.016    0.000    0.019    0.000 __init__.py:1994(debug)
     2761    0.001    0.000    0.019    0.000 ag_logging.py:134(log)
      106    0.000    0.000    0.019    0.000 comm.py:135(send)
     9657    0.006    0.000    0.019    0.000 op_def_library.py:597(<listcomp>)
     8262    0.011    0.000    0.019    0.000 base.py:5174(_get_values_for_loc)
    24786    0.013    0.000    0.019    0.000 base.py:104(_reset_cache)
    23016    0.012    0.000    0.019    0.000 ops.py:5422(_control_dependencies_stack)
    51443    0.019    0.000    0.019    0.000 {built-in method builtins.ord}
     6904    0.005    0.000    0.019    0.000 ops.py:6826(__exit__)
     1378    0.002    0.000    0.019    0.000 op_def_library.py:198(_MakeShape)
     7344    0.005    0.000    0.019    0.000 common.py:74(get_op_result_name)
      460    0.002    0.000    0.019    0.000 resource_variable_ops.py:2120(__init__)
      118    0.001    0.000    0.018    0.000 session.py:751(send)
     1836    0.004    0.000    0.018    0.000 aggregation.py:244(maybe_mangle_lambdas)
    11496    0.010    0.000    0.018    0.000 lock_util.py:73(group)
    11040    0.008    0.000    0.018    0.000 func_graph.py:739(capture)
     4590    0.002    0.000    0.018    0.000 array_ops.py:510(_bool_arith_check)
     5967    0.005    0.000    0.018    0.000 common.py:1188(is_numeric_dtype)
      916    0.001    0.000    0.018    0.000 type_spec.py:473(__eq__)
     4134    0.004    0.000    0.018    0.000 fromnumeric.py:1006(argsort)
     4141    0.005    0.000    0.018    0.000 _collections_abc.py:657(get)
     2763    0.001    0.000    0.018    0.000 ag_logging.py:117(has_verbosity)
     9657    0.006    0.000    0.017    0.000 ops.py:4151(_get_operation_by_tf_operation)
    14699    0.014    0.000    0.017    0.000 base.py:1500(_get_names)
30210/27664    0.017    0.000    0.017    0.000 {built-in method _abc._abc_subclasscheck}
     5522    0.012    0.000    0.017    0.000 op_def_library.py:110(<listcomp>)
    11496    0.017    0.000    0.017    0.000 context.py:1423(op_callbacks)
    11496    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetStackTrace}
   169928    0.017    0.000    0.017    0.000 typing.py:898(cast)
     2757    0.006    0.000    0.017    0.000 monitoring.py:143(get_cell)
      459    0.000    0.000    0.017    0.000 structure.py:344(to_batched_tensor_list)
  2299/46    0.001    0.000    0.017    0.000 ast.py:267(visit)
2298/2296    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.util._pywrap_utils.AssertSameStructure}
      918    0.001    0.000    0.017    0.000 construction.py:450(<listcomp>)
    59703    0.017    0.000    0.017    0.000 _dtype.py:24(_kind_name)
     8262    0.003    0.000    0.017    0.000 inference.py:73(iterable_not_string)
    14688    0.014    0.000    0.017    0.000 __init__.py:910(__getitem__)
    13792    0.004    0.000    0.017    0.000 nest.py:913(<genexpr>)
    28015    0.015    0.000    0.017    0.000 cast.py:1727(sanitize_to_nanoseconds)
     1837    0.004    0.000    0.017    0.000 base.py:6425(get_unanimous_names)
     4590    0.016    0.000    0.017    0.000 array_ops.py:441(maybe_prepare_scalar_for_op)
    11496    0.008    0.000    0.017    0.000 ops.py:5366(_snapshot_device_function_stack_metadata)
    14688    0.013    0.000    0.017    0.000 ops.py:83(__new__)
    16524    0.004    0.000    0.017    0.000 ops.py:363(is_term)
     5522    0.016    0.000    0.017    0.000 op_def_library.py:701(_ExtractRemainingAttrs)
     4135    0.002    0.000    0.017    0.000 distribution_strategy_context.py:233(get_strategy)
     1377    0.009    0.000    0.017    0.000 sorting.py:604(get_group_index_sorter)
    11035    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOutputType}
     8743    0.011    0.000    0.016    0.000 range.py:160(_simple_new)
     3673    0.004    0.000    0.016    0.000 tensor_util.py:192(GetNumpyAppendFn)
     2763    0.003    0.000    0.016    0.000 ag_logging.py:110(get_verbosity)
     1380    0.001    0.000    0.016    0.000 base_layer.py:1294(weights)
    30378    0.011    0.000    0.016    0.000 ops.py:4406(_name_stack)
     1836    0.002    0.000    0.016    0.000 generic.py:1935(empty)
     8739    0.016    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_AddInput}
     2295    0.003    0.000    0.016    0.000 ops.py:5483(device)
     2755    0.003    0.000    0.016    0.000 ops.py:1133(numpy)
      460    0.004    0.000    0.016    0.000 resource_variable_ops.py:336(__init__)
   216660    0.016    0.000    0.016    0.000 inspect_utils.py:79(<genexpr>)
     5522    0.005    0.000    0.016    0.000 func_graph.py:1316(device_stack_has_callable)
    14709    0.010    0.000    0.016    0.000 six.py:604(iteritems)
    17445    0.016    0.000    0.016    0.000 {method 'argsort' of 'numpy.ndarray' objects}
    31718    0.016    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteBuffer}
     2754    0.016    0.000    0.016    0.000 multi.py:1554(<genexpr>)
    49198    0.016    0.000    0.016    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
     6900    0.005    0.000    0.016    0.000 context.py:2327(graph_mode)
    11496    0.006    0.000    0.016    0.000 ops.py:4947(_control_dependencies_for_inputs)
    61716    0.016    0.000    0.016    0.000 {method 'span' of 're.Match' objects}
    11033    0.004    0.000    0.016    0.000 {method 'throw' of 'generator' objects}
    95542    0.015    0.000    0.015    0.000 common.py:149(classes_and_not_datetimelike)
     7818    0.005    0.000    0.015    0.000 {built-in method builtins.sum}
     1836    0.005    0.000    0.015    0.000 generic.py:1636(_is_label_reference)
    11496    0.006    0.000    0.015    0.000 ops.py:4981(_record_op_seen_by_control_dependencies)
      918    0.011    0.000    0.015    0.000 options.py:116(_to_proto)
     1856    0.002    0.000    0.015    0.000 concat.py:598(<genexpr>)
     6889    0.005    0.000    0.015    0.000 missing.py:606(is_valid_na_for_dtype)
    18610    0.012    0.000    0.015    0.000 {method 'extend' of 'list' objects}
     4134    0.003    0.000    0.015    0.000 <__array_function__ internals>:2(atleast_2d)
    17442    0.008    0.000    0.015    0.000 common.py:314(is_datetime64_dtype)
     2295    0.003    0.000    0.015    0.000 range.py:192(_int64index)
     6912    0.008    0.000    0.015    0.000 context.py:280(push)
     2295    0.002    0.000    0.015    0.000 fromnumeric.py:2268(any)
      918    0.001    0.000    0.015    0.000 <__array_function__ internals>:2(sort)
     4134    0.008    0.000    0.015    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.015    0.015 api.py:235(transform_ast)
    53274    0.014    0.000    0.014    0.000 {method 'readline' of '_io.StringIO' objects}
    44085    0.014    0.000    0.014    0.000 {method 'split' of 'str' objects}
     2754    0.001    0.000    0.014    0.000 multi.py:1557(<genexpr>)
    22999    0.009    0.000    0.014    0.000 ops.py:5391(_colocation_stack)
     4131    0.007    0.000    0.014    0.000 expr.py:458(_maybe_downcast_constants)
     3213    0.003    0.000    0.014    0.000 generic.py:1930(__contains__)
    13800    0.010    0.000    0.014    0.000 ops.py:5667(get_controller)
    22950    0.014    0.000    0.014    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      918    0.001    0.000    0.014    0.000 managers.py:420(convert)
     2295    0.001    0.000    0.014    0.000 array_ops.py:1578(_autopacking_conversion_function)
     3685    0.014    0.000    0.014    0.000 {built-in method pandas._libs.missing.isnaobj}
   119917    0.014    0.000    0.014    0.000 {pandas._libs.algos.ensure_platform_int}
    38566    0.014    0.000    0.014    0.000 config.py:547(_select_options)
     2296    0.002    0.000    0.014    0.000 tensor_util.py:261(inner)
     5051    0.005    0.000    0.014    0.000 range.py:461(_view)
     1838    0.004    0.000    0.014    0.000 monitoring.py:199(get_cell)
      459    0.001    0.000    0.014    0.000 structure.py:366(<lambda>)
    10582    0.011    0.000    0.014    0.000 _decorators.py:214(_format_argument_list)
     3672    0.012    0.000    0.014    0.000 categorical.py:700(categories)
      459    0.011    0.000    0.014    0.000 merge.py:1040(_get_merge_keys)
    11036    0.014    0.000    0.014    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.GetOperationInputs}
      918    0.002    0.000    0.013    0.000 cast.py:1994(maybe_cast_to_integer_array)
      459    0.002    0.000    0.013    0.000 tf_utils.py:599(sync_to_numpy_or_python_type)
    22950    0.011    0.000    0.013    0.000 base.py:148(__setattr__)
     2754    0.002    0.000    0.013    0.000 {method 'min' of 'numpy.ndarray' objects}
     2763    0.002    0.000    0.013    0.000 os.py:772(getenv)
    30799    0.011    0.000    0.013    0.000 tensor_shape.py:200(__init__)
      459    0.000    0.000    0.013    0.000 tensor_spec.py:239(_to_batched_tensor_list)
    17442    0.007    0.000    0.013    0.000 common.py:388(is_timedelta64_dtype)
    30328    0.013    0.000    0.013    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
     5967    0.005    0.000    0.013    0.000 base.py:4493(_validate_fill_value)
    24807    0.010    0.000    0.013    0.000 _validators.py:213(validate_bool_kwarg)
     6426    0.013    0.000    0.013    0.000 {built-in method _struct.pack}
    11934    0.004    0.000    0.013    0.000 base.py:5340(_index_as_unique)
     2295    0.007    0.000    0.013    0.000 multi.py:1516(_get_level_number)
    11942    0.010    0.000    0.013    0.000 _asarray.py:111(<setcomp>)
     2754    0.003    0.000    0.013    0.000 options.py:52(__setattr__)
    69508    0.013    0.000    0.013    0.000 {method 'pop' of 'dict' objects}
     5508    0.010    0.000    0.013    0.000 categorical.py:750(codes)
     3673    0.008    0.000    0.013    0.000 tensor_util.py:184(GetFromNumpyDTypeDict)
   110807    0.013    0.000    0.013    0.000 {method 'isidentifier' of 'str' objects}
    25245    0.013    0.000    0.013    0.000 {method 'union' of 'set' objects}
     5517    0.013    0.000    0.013    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
     2295    0.003    0.000    0.013    0.000 array_ops.py:1568(_should_not_autopack)
    10098    0.008    0.000    0.013    0.000 tensor_shape.py:889(__getitem__)
  1007/22    0.002    0.000    0.013    0.001 transformer.py:417(visit)
    39474    0.013    0.000    0.013    0.000 multi.py:1392(_get_names)
    10572    0.007    0.000    0.013    0.000 tf_decorator.py:193(unwrap)
     1836    0.002    0.000    0.012    0.000 putmask.py:179(validate_putmask)
     5508    0.003    0.000    0.012    0.000 generic.py:1983(<genexpr>)
     4132    0.010    0.000    0.012    0.000 tensor_util.py:337(_is_array_like)
      459    0.006    0.000    0.012    0.000 numeric.py:2337(within_tol)
     1845    0.003    0.000    0.012    0.000 range.py:188(_cached_int64index)
     9657    0.007    0.000    0.012    0.000 control_flow_util.py:262(CheckInputFromValidContext)
     1378    0.012    0.000    0.012    0.000 func_graph.py:1025(deferred_internal_captures)
     1379    0.001    0.000    0.012    0.000 tf_inspect.py:344(getmodule)
     5055    0.012    0.000    0.012    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
    21155    0.012    0.000    0.012    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationName}
   104381    0.012    0.000    0.012    0.000 context.py:2152(context_safe)
     5522    0.011    0.000    0.012    0.000 op_def_library.py:351(_ExtractOutputStructure)
  1586/67    0.002    0.000    0.012    0.000 ast.py:320(generic_visit)
    11498    0.005    0.000    0.012    0.000 ops.py:2246(name)
    76446    0.012    0.000    0.012    0.000 flags.py:51(allows_duplicate_labels)
     2759    0.012    0.000    0.012    0.000 threading.py:75(RLock)
     5522    0.005    0.000    0.012    0.000 op_def_library.py:108(<listcomp>)
      460    0.002    0.000    0.012    0.000 function_spec.py:309(canonicalize_function_inputs)
    13792    0.012    0.000    0.012    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
    18387    0.012    0.000    0.012    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GetBuffer}
     7816    0.003    0.000    0.012    0.000 nest.py:147(is_namedtuple)
    28925    0.009    0.000    0.012    0.000 structure.py:285(<genexpr>)
      459    0.001    0.000    0.012    0.000 tensor_util.py:1087(maybe_set_static_shape)
    22038    0.008    0.000    0.012    0.000 base.py:4405(_get_engine_target)
   115517    0.012    0.000    0.012    0.000 {built-in method builtins.callable}
     2754    0.001    0.000    0.012    0.000 _methods.py:42(_amin)
     2760    0.002    0.000    0.012    0.000 distribution_strategy_context.py:269(get_strategy_and_replica_context)
    42746    0.011    0.000    0.011    0.000 {method 'clear' of 'dict' objects}
     3672    0.002    0.000    0.011    0.000 <__array_function__ internals>:2(ravel)
    64314    0.011    0.000    0.011    0.000 base.py:1449(name)
     5967    0.005    0.000    0.011    0.000 common.py:1487(is_complex_dtype)
     5508    0.004    0.000    0.011    0.000 <__array_function__ internals>:2(bincount)
    11033    0.011    0.000    0.011    0.000 errors_impl.py:53(__init__)
     6426    0.011    0.000    0.011    0.000 dataset_ops.py:664(_metadata)
    23409    0.011    0.000    0.011    0.000 {pandas._libs.algos.ensure_int64}
    68984    0.011    0.000    0.011    0.000 blocks.py:238(mgr_locs)
      460    0.000    0.000    0.011    0.000 dtypes.py:196(most_specific_common_supertype)
     1382    0.010    0.000    0.011    0.000 inspect.py:714(getmodule)
     1836    0.001    0.000    0.011    0.000 options.py:598(__setattr__)
     2295    0.002    0.000    0.011    0.000 context.py:2344(device)
     6893    0.011    0.000    0.011    0.000 op_def_library.py:38(_Attr)
     4590    0.011    0.000    0.011    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
    37851    0.011    0.000    0.011    0.000 {method 'encode' of 'str' objects}
     4131    0.006    0.000    0.011    0.000 eval.py:24(_check_engine)
     1836    0.002    0.000    0.011    0.000 ops.py:289(_get_result_dtype)
    11496    0.007    0.000    0.011    0.000 _collections_abc.py:676(items)
      460    0.001    0.000    0.011    0.000 base.py:1643(rename)
     1836    0.009    0.000    0.011    0.000 op_def_library.py:475(<genexpr>)
    11954    0.011    0.000    0.011    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
