Mon Mar 20 16:43:06 2023    profile_results_base.prof

         45452990 function calls (44306479 primitive calls) in 47.028 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16524    0.059    0.000    1.492    0.000 base.py:1324(to_series)
   118881    0.219    0.000    1.485    0.000 parsing.py:166(tokenize_string)
     4131    0.007    0.000    1.482    0.000 expr.py:531(visit_BinOp)
     5527    0.010    0.000    1.410    0.000 indexing.py:918(__getitem__)
      920    0.014    0.000    1.376    0.001 frame.py:5322(set_index)
    14688    0.109    0.000    1.354    0.000 algorithms.py:571(factorize)
     1377    0.005    0.000    1.353    0.001 frame.py:4421(assign)
     8263    0.009    0.000    1.352    0.000 constant_op.py:170(constant)
6436/5976    0.025    0.000    1.349    0.000 nest.py:809(map_structure)
     8263    0.046    0.000    1.343    0.000 constant_op.py:271(_constant_impl)
     4149    0.021    0.000    1.335    0.000 indexing.py:1132(_getitem_axis)
    44982    0.058    0.000    1.317    0.000 parsing.py:95(clean_column_name)
      459    0.005    0.000    1.288    0.003 frame.py:5977(drop_duplicates)
     5067    0.011    0.000    1.274    0.000 generic.py:3620(_take_with_is_copy)
6436/5976    0.008    0.000    1.262    0.000 nest.py:917(<listcomp>)
     4131    0.009    0.000    1.213    0.000 indexing.py:945(_getbool_axis)
     1378    0.067    0.000    1.192    0.001 auto_control_deps.py:346(__exit__)
   209092    0.451    0.000    1.177    0.000 tokenize.py:487(_tokenize)
   186989    0.348    0.000    1.156    0.000 generic.py:5489(__setattr__)
     5522    0.085    0.000    1.128    0.000 op_def_library.py:412(_ExtractInputsAndAttrs)
     5967    0.023    0.000    1.123    0.000 frame.py:3587(__setitem__)
     4131    0.013    0.000    1.116    0.000 expr.py:492(_maybe_evaluate_binop)
      918    0.001    0.000    1.114    0.001 array_ops.py:1111(slice)
      918    0.005    0.000    1.113    0.001 gen_array_ops.py:9547(_slice)
      459    0.024    0.000    1.088    0.002 frame.py:6075(duplicated)
     3672    0.034    0.000    1.035    0.000 categorical.py:361(__init__)
     5967    0.013    0.000    1.027    0.000 frame.py:3774(_set_item)
    53717    0.164    0.000    1.004    0.000 blocks.py:1931(new_block)
      918    0.009    0.000    0.979    0.001 frame.py:6216(sort_values)
    11496    0.152    0.000    0.969    0.000 ops.py:1908(_create_c_op)
     5967    0.019    0.000    0.952    0.000 frame.py:3749(_set_item_mgr)
     5067    0.026    0.000    0.941    0.000 generic.py:3521(take)
     5967    0.038    0.000    0.941    0.000 base.py:5956(insert)
2590902/2589511    0.448    0.000    0.894    0.000 {built-in method builtins.getattr}
     5546    0.030    0.000    0.893    0.000 generic.py:5827(copy)
     3672    0.003    0.000    0.870    0.000 expr.py:481(_maybe_eval)
     3672    0.009    0.000    0.867    0.000 ops.py:415(evaluate)
      459    0.001    0.000    0.845    0.002 data_adapter.py:294(permutation)
      459    0.005    0.000    0.840    0.002 math_ops.py:2043(range)
151161/119025    0.226    0.000    0.840    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    37183    0.078    0.000    0.832    0.000 managers.py:1569(from_array)
     5546    0.023    0.000    0.791    0.000 managers.py:574(copy)
50054/48677    0.016    0.000    0.788    0.000 common.py:346(apply_if_callable)
    50059    0.200    0.000    0.784    0.000 construction.py:463(sanitize_array)
     5967    0.010    0.000    0.776    0.000 common.py:54(new_method)
     4131    0.006    0.000    0.763    0.000 ops.py:396(__call__)
    11042    0.056    0.000    0.759    0.000 auto_control_deps.py:660(_get_resource_inputs)
    36903    0.069    0.000    0.746    0.000 frame.py:3860(_box_col_values)
     5985    0.023    0.000    0.745    0.000 managers.py:840(take)
     9180    0.012    0.000    0.744    0.000 frame.py:6172(f)
     7362    0.024    0.000    0.715    0.000 managers.py:629(reindex_indexer)
     1377    0.002    0.000    0.702    0.001 frame.py:4774(drop)
     1377    0.004    0.000    0.700    0.001 generic.py:4121(drop)
     1836    0.040    0.000    0.694    0.000 multi.py:3670(insert)
     1377    0.006    0.000    0.692    0.001 generic.py:4157(_drop_axis)
     3672    0.003    0.000    0.691    0.000 ops.py:265(_in)
     3672    0.013    0.000    0.688    0.000 series.py:4963(isin)
    14688    0.033    0.000    0.688    0.000 algorithms.py:527(factorize_array)
    36903    0.156    0.000    0.683    0.000 managers.py:977(iget)
     2295    0.001    0.000    0.682    0.000 constant_op.py:340(_constant_tensor_conversion_function)
     5509    0.004    0.000    0.671    0.000 tensor_conversion_registry.py:46(_default_conversion_function)
     3674    0.010    0.000    0.670    0.000 array_ops.py:248(identity)
      918    0.021    0.000    0.668    0.001 sorting.py:276(lexsort_indexer)
      919    0.003    0.000    0.660    0.001 concat.py:90(concat)
      920    0.003    0.000    0.654    0.001 base.py:6239(ensure_index_from_sequences)
     2756    0.035    0.000    0.653    0.000 func_graph.py:1447(_get_defun_inputs)
    42228    0.039    0.000    0.651    0.000 frame.py:1205(items)
      918    0.041    0.000    0.650    0.001 multi.py:429(from_arrays)
     1836    0.009    0.000    0.646    0.000 generic.py:322(_cython_agg_general)
    44982    0.054    0.000    0.640    0.000 parsing.py:132(tokenize_backtick_quoted_string)
     3674    0.008    0.000    0.628    0.000 gen_array_ops.py:4055(identity)
     1378    0.003    0.000    0.628    0.000 func_graph.py:1189(convert)
     1378    0.001    0.000    0.626    0.000 func_graph.py:1426(_get_defun_inputs_from_args)
     8762    0.022    0.000    0.622    0.000 managers.py:622(_consolidate_inplace)
130182/107166    0.117    0.000    0.619    0.000 contextlib.py:107(__enter__)
     1378    0.005    0.000    0.618    0.000 auto_control_deps.py:209(mark_as_return)
     1377    0.016    0.000    0.608    0.000 groupby.py:1352(_agg_general)
      459    0.001    0.000    0.606    0.001 gen_dataset_ops.py:2331(flat_map_dataset)
  1518108    0.415    0.000    0.603    0.000 generic.py:43(_check)
1976212/1582865    0.353    0.000    0.595    0.000 {built-in method builtins.len}
     1836    0.002    0.000    0.591    0.000 _decorators.py:322(wrapper)
   209199    0.108    0.000    0.583    0.000 construction.py:369(extract_array)
      459    0.001    0.000    0.582    0.001 gen_dataset_ops.py:3439(map_dataset)
      918    0.003    0.000    0.578    0.001 categorical.py:2761(factorize_from_iterables)
     2754    0.002    0.000    0.575    0.000 categorical.py:2782(<genexpr>)
     1836    0.006    0.000    0.573    0.000 categorical.py:2722(factorize_from_iterable)
     4590    0.030    0.000    0.571    0.000 series.py:5516(_arith_method)
     6426    0.034    0.000    0.560    0.000 dataset_ops.py:225(__init__)
      459    0.001    0.000    0.549    0.001 frame.py:8973(join)
      459    0.003    0.000    0.549    0.001 frame.py:9103(_join_compat)
     6426    0.007    0.000    0.548    0.000 options.py:651(merge)
      459    0.002    0.000    0.544    0.001 merge.py:89(merge)
     4131    0.037    0.000    0.541    0.000 generic.py:611(<dictcomp>)
     6426    0.043    0.000    0.540    0.000 options.py:115(merge_options)
    11496    0.097    0.000    0.524    0.000 ops.py:2140(_init_from_c_op)
    16125    0.042    0.000    0.517    0.000 frame.py:573(__init__)
    92456    0.137    0.000    0.515    0.000 blocks.py:1858(maybe_coerce_values)
      459    0.011    0.000    0.510    0.001 merge.py:711(get_result)
    19286    0.373    0.000    0.496    0.000 {pandas._libs.lib.maybe_convert_objects}
     1842    0.021    0.000    0.492    0.000 graph_only_ops.py:25(graph_placeholder)
    16991    0.033    0.000    0.490    0.000 base.py:6397(_maybe_cast_data_without_dtype)
      918    0.004    0.000    0.489    0.001 dataset_ops.py:2853(with_options)
      918    0.013    0.000    0.485    0.001 dataset_ops.py:5729(__init__)
     1836    0.003    0.000    0.484    0.000 generic.py:338(array_func)
     5967    0.014    0.000    0.481    0.000 series.py:2916(_construct_result)
     1836    0.006    0.000    0.481    0.000 ops.py:991(_cython_operation)
      459    0.001    0.000    0.478    0.001 data_adapter.py:385(grab_batch)
      459    0.001    0.000    0.472    0.001 data_adapter.py:387(<lambda>)
    76897    0.277    0.000    0.470    0.000 generic.py:5435(__finalize__)
      459    0.001    0.000    0.467    0.001 gen_dataset_ops.py:5996(parallel_map_dataset_v2)
    11036    0.038    0.000    0.464    0.000 auto_control_deps_utils.py:85(get_read_write_resource_inputs)
    13793    0.175    0.000    0.461    0.000 managers.py:224(_rebuild_blknos_and_blklocs)
     2297    0.013    0.000    0.460    0.000 generic.py:4571(reindex)
579258/190026    0.288    0.000    0.459    0.000 options.py:586(__getattribute__)
      459    0.001    0.000    0.459    0.001 array_ops.py:5289(gather_v2)
  461/460    0.004    0.000    0.456    0.001 deprecation.py:527(new_func)
     1377    0.004    0.000    0.452    0.000 frame.py:4753(reindex)
    36310    0.040    0.000    0.451    0.000 take.py:54(take_nd)
     5508    0.021    0.000    0.449    0.000 base.py:3426(get_indexer)
      459    0.001    0.000    0.440    0.001 series.py:5397(clip)
      459    0.005    0.000    0.438    0.001 generic.py:7287(clip)
     4131    0.008    0.000    0.438    0.000 frame.py:3744(_iset_item_mgr)
     3674    0.079    0.000    0.433    0.000 managers.py:696(_slice_take_blocks_ax0)
     1378    0.012    0.000    0.432    0.000 function.py:1423(__init__)
      459    0.001    0.000    0.427    0.001 dataset_ops.py:1266(concatenate)
      459    0.006    0.000    0.426    0.001 dataset_ops.py:4870(__init__)
    14688    0.015    0.000    0.423    0.000 algorithms.py:291(get_data_algo)
      459    0.002    0.000    0.421    0.001 groupby.py:1838(sum)
      459    0.002    0.000    0.419    0.001 array_ops.py:5073(gather)
      459    0.007    0.000    0.417    0.001 generic.py:7227(_clip_with_scalar)
     4132    0.022    0.000    0.416    0.000 managers.py:1964(_consolidate)
      918    0.002    0.000    0.416    0.000 dataset_ops.py:697(from_tensors)
      459    0.003    0.000    0.414    0.001 gen_array_ops.py:3890(gather_v2)
      918    0.008    0.000    0.414    0.000 dataset_ops.py:4686(__init__)
    19782    0.039    0.000    0.412    0.000 blocks.py:1121(take_nd)
     4131    0.119    0.000    0.406    0.000 managers.py:1022(iset)
     4131    0.018    0.000    0.405    0.000 expr.py:135(_preparse)
    14688    0.006    0.000    0.402    0.000 dtypes.py:182(__init__)
   256581    0.170    0.000    0.401    0.000 options.py:99(get_fn)
    14688    0.023    0.000    0.395    0.000 dtypes.py:331(_finalize)
      918    0.001    0.000    0.394    0.000 ops.py:909(group_info)
      918    0.004    0.000    0.393    0.000 ops.py:928(_get_compressed_codes)
    36310    0.133    0.000    0.392    0.000 take.py:111(_take_nd_ndarray)
   109894    0.172    0.000    0.388    0.000 series.py:627(name)
    13809    0.057    0.000    0.384    0.000 base.py:4728(equals)
     1377    0.002    0.000    0.383    0.000 frame.py:4586(_reindex_axes)
      920    0.006    0.000    0.381    0.000 construction.py:396(dict_to_mgr)
     1377    0.004    0.000    0.381    0.000 frame.py:4623(_reindex_columns)
     4132    0.005    0.000    0.381    0.000 tokenize.py:312(untokenize)
     5526    0.030    0.000    0.377    0.000 managers.py:681(<listcomp>)
     3214    0.016    0.000    0.377    0.000 function_context.py:123(make_cache_key)
    10137    0.048    0.000    0.376    0.000 managers.py:276(apply)
