iter	Logloss
0	0.5855680879
1	0.5485280681
2	0.5313849086
3	0.5238737367
4	0.5182023154
5	0.5134353449
6	0.5111452226
7	0.5066833201
8	0.5047472164
9	0.5019047088
10	0.4996602315
11	0.4979533676
12	0.4956291245
13	0.4938284158
14	0.4915313762
15	0.4886092637
16	0.486594353
17	0.484399044
18	0.4822571081
19	0.4812188777
20	0.4793856258
21	0.4776672429
22	0.4761008195
23	0.4746762642
24	0.4729548714
25	0.4718434627
26	0.4701572402
27	0.468811793
28	0.4675623197
29	0.4658603443
30	0.4644828384
31	0.4629114373
32	0.4611649401
33	0.4595684346
34	0.4575231498
35	0.4559226829
36	0.4543231156
37	0.4531426536
38	0.4513217926
39	0.4493136146
40	0.4480937624
41	0.4463632694
42	0.4442733311
43	0.4429676707
44	0.4416415305
45	0.4398015588
46	0.4382919931
47	0.4372279266
48	0.435906237
49	0.4342954288
50	0.4332027095
51	0.431957115
52	0.4313197497
53	0.4300148784
54	0.4290743679
55	0.4275377623
56	0.4257579461
57	0.4246082649
58	0.4231324958
59	0.4217395907
60	0.4203216339
61	0.4189567379
62	0.4177499606
63	0.416626463
64	0.4156214878
65	0.4142376212
66	0.4132014973
67	0.411985957
68	0.4107456713
69	0.4092722969
70	0.4083025971
71	0.4072684814
72	0.4061263816
73	0.4055270326
74	0.4042229198
75	0.4032208013
76	0.4021810026
77	0.4014393453
78	0.3998816642
79	0.3987258396
80	0.3978196635
81	0.3968885326
82	0.3961342974
83	0.394883584
84	0.3939486892
85	0.3928657942
86	0.3916491803
87	0.3906800451
88	0.389473977
89	0.3888579385
90	0.3875690134
91	0.3866894465
92	0.3856388987
93	0.384534075
94	0.3835962557
95	0.3825024468
96	0.3814724687
97	0.3806405366
98	0.3796838064
99	0.3789075653
100	0.3777392298
101	0.3767207939
102	0.3758981697
103	0.374792051
104	0.3736602367
105	0.3729069827
106	0.3723934341
107	0.3715921567
108	0.3706305384
109	0.3695675868
110	0.3686187087
111	0.3676802658
112	0.3663533674
113	0.3655444225
114	0.3647565911
115	0.3638491377
116	0.3628651285
117	0.3623280627
118	0.3609966269
119	0.3597199414
120	0.3589066681
121	0.3581704633
122	0.3571023464
123	0.3562626203
124	0.3556650877
125	0.354665451
126	0.3537847725
127	0.3531792887
128	0.3522484924
129	0.3513269982
130	0.3504725861
131	0.349669718
132	0.3489735826
133	0.3480584296
134	0.3469994771
135	0.3460739216
136	0.3454037736
137	0.3446545231
138	0.3442198867
139	0.3436618494
140	0.3425138458
141	0.3413173086
142	0.3406647557
143	0.3395484269
144	0.3388095269
145	0.3382572158
146	0.3376832967
147	0.3369474888
148	0.3366197911
149	0.3360998493
150	0.3351852348
151	0.3348465667
152	0.3341497974
153	0.3331181603
154	0.3324822928
155	0.3316449078
156	0.3308432898
157	0.3303805604
158	0.3295462253
159	0.3284751277
160	0.3275110996
161	0.3273892031
162	0.3268133144
163	0.3261006405
164	0.3252938343
165	0.3246566908
166	0.323844393
167	0.3229826733
168	0.3221375891
169	0.3212735273
170	0.3204587375
171	0.3196505994
172	0.3188276851
173	0.3183835994
174	0.3175102035
175	0.3168648549
176	0.316399865
177	0.3157713065
178	0.3148919854
179	0.3142366144
180	0.3136775781
181	0.3130185183
182	0.3124610563
183	0.3116856954
184	0.3113647476
185	0.3107532094
186	0.3099294729
187	0.3091884017
188	0.3087706908
189	0.3080075482
190	0.3073549954
191	0.3065380516
192	0.3058776254
193	0.3052302168
194	0.3045538293
195	0.3036345432
196	0.3033023044
197	0.3024772525
198	0.3019173142
199	0.3010939809
200	0.300243905
201	0.2997754532
202	0.2992578708
203	0.2984812635
204	0.2978509204
205	0.2975211294
206	0.2970485991
207	0.2963545018
208	0.2956279265
209	0.2950898785
