iter	Logloss
0	0.6779632595
1	0.6650598622
2	0.6531344808
3	0.6433902482
4	0.6354408203
5	0.6286310686	0.6101721481
7	0.6041145177
8	0.5982618107
9	0.5931156686
10	0.5893049613
11	0.5851358482
12	0.5811112013
13	0.5784261047
14	0.5758507008
15	0.5733475133
16	0.5707467985
17	0.5683871435
18	0.5662931815
19	0.5643964413
20	0.5626964052
21	0.5601102808
22	0.5581508428
23	0.5563897025
24	0.5550391413
25	0.5535507578
26	0.5520366109
27	0.5507845272
28	0.5498463243
29	0.5488512241
30	0.5480383947
31	0.5471070798
32	0.5461039186
33	0.5451127306
34	0.5444559911
35	0.5418215588
36	0.5401514031
37	0.5396082482
38	0.5387989742
39	0.5381744618
40	0.53753593
41	41	0.5585981965442	0.55807158243	0.5759918416
44	0.5754560501
45	0.5746874376
46	0.5739962879
47	0.5736826139
48	0.5732045455
49	0.5728159683
50	0.5722988366
51	0.571704444
52	0.5713320262
53	0.5710337249
554	0.5495475118
55	0.549254686
56	0.5488143205
57	0.5484909055858	0.5480390895959	0.54760950860	0.5676427706
61	0.5672987614
62	0.5669821485
63	0.5665998231
64	0.5660794493
6565	0.5456474566666	0.5453565526767	0.5437973232
68	0.54349655
69	0.5432783155
70	0.5430193982
71	0.5428491353
72	0.5425118848
73	0.5422545191
74	0.5420406313
75	0.5416199391
76	0.5413725175
77	0.5411200711
78	0.5409439057
79	0.5408212549
80	0.5405021726
81	0.5401543225
82	0.5399738959
83	0.5397699663
84	0.5394814746
85	0.5393035472
86	0.539027918
87	0.5388636584
88	0.5385699761
89	0.5370819421
90	0.5368682445
91	0.536637002
92	0.5364030111
93	0.5362344124
94	0.5360188411
95	0.535722534
96	0.5355468578
97	0.5353449574
98	0.5352106617
99	0.5350203393
100	0.53486089
101	0.5346892064
102	0.5335911902
103	0.5334484378
104	0.5332679617
105	0.5330981377
106	0.5329772821
107	0.5320755354
108	0.531865314
109	0.5317748161
110	0.5316810966
111	0.5315175327
112	0.5313508401
113	0.5312247238
114	0.5311003838
115	0.530949309
116	0.5308158334
117	0.5306069263
118	0.5304507221
119	0.5303196803
120	0.5302107283
121	0.5300536469
122	0.5298953121
123	0.5297773091
124	0.5296715408
125	0.5295286859
126	0.5293051779
127	0.5291759206
128	0.5290632639
129	0.5283818335
130	0.5282787907
131	0.528188048
132	0.5280006878
133	0.5278898289
134	0.5278008956
135	0.5277056902
136	0.5275571023
137	0.5274344656
138	0.5273070089
139	0.5271903424
140	0.5270524172
141	0.5269908972
142	0.5268985174
143	0.52676857
144	0.5266338649
145	0.526525001
146	0.5264469914
147	0.5263107103
148	0.5261402913
149	0.5260028785
150	0.5257663332
151	0.5256719955
152	0.5251429469
153	0.5250293989
154	0.5249360791
155	0.5248020316
156	0.5246709538
157	0.5245448043
158	0.5244184835
159	0.5242764794
160	0.5241350959
161	0.5234706805
162	0.5233041183
163	0.5231672397
164	0.5230616821
165	0.5229331808
166	0.5228238515
167	0.5226524268
168	0.5225419988
169	0.5224545345
170	0.5223869952
171	0.5222532649
172	0.5221015128
173	0.5219643033
174	0.5218955986
