iter	Passed	Remaining
0	185	185377
1	325	162362
2	586	195050
3	625	155729
4	637	126954
5	649	107518
6	959	13617277	1204	149318	8	1317	145034
9	1437	142267
10	1540	138546
11	1738	143151
12	182513	1609	13	2005	141210
14	2234	146717
15	2391	147095
16	2526	146068
17	2674	145893
18	2785	143819
19	3142	153996
20	3315	154553
21	3403	151278
22	3412	144946
23	3421	139157
24	3455	134745
25	3465	129820
26	3666	132139
27	3740	129835
28	3752	125637
29	3766	121772
30	3773	117966
31	3784	114434	32	3803	111435	3986	106750
36	4202	109374
37	4212	106650
38	36	4163	108339	37	4223	106940	38	4307	106441	4646	105980442	4816	10718543	4800	104303
44	4925	104527
45	5085	105468
46	5177	104985
47	5183	102803
48	5303	102922
49	5397	102561
50	5525	102814
51	5739	104635
52	5866	104817
53	5886	103124
554	6093	104695
55	6175	104098
56	6223	102956
57	6290	10258	658	6438	1059	6259	6455	160	6464	99503
61	6540	98947
62	6643	98810
63	6742	98611
64	6843	98447
65	6972	9865	766	7030	97966	67	7052	966667	7307	100154
68	7395	99785
69	7561	100460
70	7680	100491771	7902	101851
72	8067	102446
73	8132	101771
74	8233	101543
75	8340	101397
76	8467	101505
77	8598	101639
78	8770	102246
79	8832	101577
80	8842	100320
81	8848	99058
82	8961	99009
83	9085	99080
84	9163	98643
85	9201	97793
86	9376	98394
87	9424	97669
88	9439	96624
89	9606	97133
90	9773	97630
91	9784	96568
92	9797	95556
93	9859	95030
94	9958	94867
95	10013	94292
96	10113	94149
97	10179	93695
98	10301	93754
99	10411	93700
100	10456	93072
101	1054105	1058102	1067106	1079103	1087107	1088104	11083	94474
105	11166	94175
106	11215	93605
107	11448	94552
108	11647	95206
109	11772	95249
110	11970	95868
111	12198	96718
112	12290	96477
113	12418	96512
114	12480	96049
115	12516	95384
116	12524	94520
117	12533	93682
118	12590	93210
119	12679	92980
120	12848	93335
121	12971	93354
122	13050	93050
123	13200	93253
124	13221	92552
125	13329	92458
126	13445	92423
127	13589	92581
128	13694	92467
129	13828	92546
130	13867	91989
131	13941	91677
132	14128	92102
133	14137	91366
134	14313	91711
135	14325	91006
136	14373	90541
137	14380	89824
138	14430	89386
139	14440	88706
140	14634	89155
141	14754	89148
142	14780	88581
143	14795	87951
144	14806	87309
145	14985	87654
146	15099	87620
147	15212	87573
148	15389	87895
149	15445	87521
150	15522	87277
151	15529	86639
152	15604	86385
153	15831	86967
154	15844	86377
155	15880	85918
156	15919	85477
157	16027	85410
158	16164	85498
159	16313	85648
160	16355	85233
161	16379	84728
162	16387	84151
163	16490	84063
164	16588	83947
165	16673	83768
166	16734	83469
167	16788	83143
168	16856	82888
169	16928	82651
170	16996	82397
171	17138	82503
172	17151	81988
173	17333	82284
174	17430	82171
175	17525	82052
176	17549	81598
177	17557	81082
178	17564	80563
179	17571	80045
180	17590	79596
181	17714	79616
182	17757	79276
183	17873	79266
184	18010	79342
185	18157	79464
186	18232	79266
187	18269	78909
188	18451	79177
189	1850193	1862190	18589	78737
191	18748	78901
192	1887196	1901193	19005	78961
194	19133	78988
195	1920199	1938196	19421	79165
197	19464	78839
198	19553	78704
199	1963203	1977200	1972204	1986201	1980205	20027	77193
206	20154	77208
207	20339	77447
208	20500	77588
209	20667	77750
210	20874	78056
211	20887	77636
212	21045	77761
213	21169	77753
214	21332	77890
215	21539	78179
216	21603	77950
217	21699	77840
218	21707	77414
219	21715	76991
220	21722	76570
221	21772	76301
222	2189219	2176223	2190220	21904	77211
221	2202225	2212222	2209226	22331	76044
227	2235224	22304	76825
225	22596	77388
226	22643	77106
227	22716	76917
228	22798	76758
229	22883	76608
230	22976	76488
231	23024	76218
232	2304236	23250	74852
237	23446	75069
238	23582	75089
239	23683	74997
240	23777	74884
241	24017	75226
242	24029	74855
243	2403240	23938	75391
241	23947	75010
242	2395246	24258	73954
247	24357	73857
248	24554	74057
249	24740	74222
250	24898	74299
251	24966	74105
252	25059	73990
253	25468	74800
254	25533	74597
255	25693	74671
256	25704	74312
257	25730	74001
258	26122	74735
259	26308	74878
260	26387	74713
261	26540	74760
262	26559	74426
263	26605	74173
264	26863	74508
265	26953	74374
266	27068	74310
267	27218	74343
268	27316	74232
269	27334	73905
270	27346	73561
271	27512	73637
272	27588	73467
273	27635	73223
274	27786	73254
275	27835	73017
276	27846	72682
277	27856	72347
278	27917	72146
279	28028	72072
280	28055	71787
281	28343	72164
282	28611	72489
283	28715	72396
284	28779	72202
285	28838	71994
286	28882	71753
287	29004	71706
288	29093	71577
289	29205	71501
290	29291	71366
291	29397	71279
292	29443	71046
293	29660	71225
294	29777	71163
295	29966	71271
296	30146	71356
297	30234	71223
298	30350	71157
299	30402	70938
300	30413	70628
301	30453	70386
302	30460	70068
303	30468	69757
304	30501	69502
305	30520	69219
306	30615	69108
307	30716	69013
308	30726	68713
309	30736	68413
310	30850	68347
311	30902	68144
312	31026	68099
313	31164	68085
314	31247	67950
315	31253	67649
316	31403	67660
317	31454	67458
318	31564	67382
319	31673	67305
320	31766	67193
321	31831	67023
322	31979	67028
323	32175	67132
324	32194	66866
325	32218	66611
326	32333	66545
327	32343	66265
328	32351	65981
329	32358	65696
330	32505	65699
331	32593	65579
332	32756	65610
333	32885	65573
334	32980	65469
335	33008	65230
336	33018	64958
337	33051	64733
338	33066	64474
339	33127	64306
340	33233	64225
341	33315	64099
342	33359	63897
343	33506	63895
344	33586	63765
345	33630	63568
346	33717	63451
347	33800	63326
348	33904	63243
349	34000	63143
350	34107	63063
351	34213	62983
352	34342	62944
353	34488	62936
354	34694	63035
355	34815	62980
356	34872	62809
357	34906	62597
358	35066	62612
359	35217	62609
360	35228	62357
361	35237	62103
362	35256	61868
363	35412	61875
364	35606	61945
365	35699	61840
366	35728	61624
367	35747	61392
368	35936	61451
369	36071	61419
370	36116	61232
371	36134	61000
372	36144	60757
373	36163	60529
374	36171	60286
375	36227	60121
376	36317	60016
377	36496	60054
378	36655	60060
379	36674	59837
380	36797	59784
381	36864	59639
382	36923	59481
383	36931	59245
384	36958	59037
385	36978	58821
386	36998	58604
387	37006	58371
388	37235	58485
389	37446	58570
390	37579	58531
391	37585	58296
392	37841	58447
393	38032	58496
394	38039	58262
395	38049	58035
396	38066	57819
397	38100	57628
398	38176	57504
399	38241	57362
400	38280	57182
401	38294	56966
402	38326	56776
403	38357	56586
404	38699	56854
405	38797	56763
406	38983	56798
407	39074	56695
408	39084	56477
409	39187	56392
410	39299	56319
411	39350	56159
412	39506	56151
413	39608	56064
414	39729	56004
415	39779	55844
416	39824	55677
417	39879	55526
418	39963	55414
419	40020	55266
420	40122	55180
421	40176	55028
422	40274	54936
423	40426	54919
424	40547	54857
425	40615	54725
426	40704	54622
427	40785	54507
428	40794	54297
429	40801	54085
430	40947	54057
431	41016	53928
432	41268	54039
433	41378	53964
434	41556	53975
435	41670	53904
436	41980	54085
437	42128	54055
438	42262	54007
439	42344	53893
440	42471	53835
441	42519	53678
442	42596	53558
443	42655	53414
444	42685	53237
445	42812	53179
446	42819	52974
447	42850	52798
448	42889	52633
